,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
0,Mornington Hotel London Victoria,"Westminster Borough, London Show on map",£36,"1 night, 2 adults",Economy Double Room,1 double bed,8.0,Very good,"1,288 reviews","https://www.booking.com/hotel/gb/caswellhotel.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=22901804_123732105_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=22901804_123732105_0_0_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=22901804_123732105_0_0_0__3581&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
1,Park Plaza Westminster Bridge London,"Lambeth, London Show on map",£139,"1 night, 2 adults",Superior Double Room - Disability Access,1 extra-large double bed,8.5,Very good,"18,444 reviews","https://www.booking.com/hotel/gb/park-plaza-westminster-bridge.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=18001610_232334097_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=18001610_232334097_0_0_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=18001610_232334097_0_0_0__13900&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
2,Copthorne Tara Hotel London Kensington,"Kensington and Chelsea, London Show on map",£60,"1 night, 2 adults",Double Room - Disability Access,1 double bed,7.7,Good,"5,107 reviews","https://www.booking.com/hotel/gb/copthornetara.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=12342825_278918159_0_34_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=12342825_278918159_0_34_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=12342825_278918159_0_34_0__6038&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
3,Montcalm Royal London House-City of London,"Islington, London Show on map",£139,"1 night, 2 adults",Deluxe Double Room,1 double bed,8.9,Fabulous,"6,688 reviews","https://www.booking.com/hotel/gb/the-montcalm-royal-london-house.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=192925901_93199912_0_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=192925901_93199912_0_2_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=192925901_93199912_0_2_0__13900&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
4,ibis Styles London Kensington,"Kensington and Chelsea, London Show on map",£38,"1 night, 2 adults",Double Room,1 double bed,7.7,Good,"2,647 reviews","https://www.booking.com/hotel/gb/enterprisehotel.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=20016407_246033417_2_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=20016407_246033417_2_2_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=20016407_246033417_2_2_0__3800&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
5,Park Avenue Baker Street,"Westminster Borough, London Show on map",£84,"1 night, 2 adults",Club Double Room,1 large double bed,7.6,Good,"2,757 reviews","https://www.booking.com/hotel/gb/park-avenue-baker-street.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=4911108_122889686_0_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=4911108_122889686_0_2_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=4911108_122889686_0_2_0__8369&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
6,"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London Show on map",£285,"1 night, 2 adults",Collection Superior Queen Room,1 double bed,8.6,Fabulous,"1,866 reviews","https://www.booking.com/hotel/gb/radissonedwardianmayfair.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=11735833_272500312_2_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=11735833_272500312_2_2_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=11735833_272500312_2_2_0__28500&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
7,Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London Show on map",£55,"1 night, 2 adults",Double Room,1 double bed,7.3,Good,235 reviews,"https://www.booking.com/hotel/gb/bayswaterinn.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=3288_86746119_0_1_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=3288_86746119_0_1_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=3288_86746119_0_1_0__5520&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
8,Leonardo Royal London Tower Bridge,"Tower Hamlets, London Show on map",£95,"1 night, 2 adults",Superior King Room,1 extra-large double bed,8.4,Very good,"6,676 reviews","https://www.booking.com/hotel/gb/grange-tower-bridge.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=30109911_298219272_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=30109911_298219272_0_0_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=30109911_298219272_0_0_0__9499&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
9,Park Plaza County Hall London,"Lambeth, London Show on map",£139,"1 night, 2 adults",Superior Twin Room,2 single beds,8.5,Very good,"5,454 reviews","https://www.booking.com/hotel/gb/park-plaza-county-hall.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=3527705_117307678_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=3527705_117307678_0_0_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=3527705_117307678_0_0_0__13920&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
